0 139 12 8394 16649 58305
1 16775 16776 24904 33159 58178
2 25030 25031 90817 82689 33286
3 8520 8521 139712 25157 16902
4 58431 58304 66433 74561 115582
5 33285 33412 41541 41414 66559
6 50050 49923 90943 139838 98945
7 138 266 99072 99071 8647
8 392 265 115708 107454 107327
9 41540 41668 107200 107580 74687
10 41794 41667 82815 50049 49796
11 49922 50176 99198 107453 107326
12 0 139 393 13 8648 8394
13 12 393 394 14 8774 8648
14 13 394 395 15 8899 8774
15 14 395 396 16 9023 8899
16 15 396 397 17 9146 9023
17 16 397 398 18 9268 9146
18 17 398 399 19 9389 9268
19 18 399 400 20 9509 9389
20 19 400 401 21 9628 9509
21 20 401 402 22 9746 9628
22 21 402 403 23 9863 9746
23 22 403 404 24 9979 9863
24 23 404 405 25 10094 9979
25 24 405 406 26 10208 10094
26 25 406 407 27 10321 10208
27 26 407 408 28 10433 10321
28 27 408 409 29 10544 10433
29 28 409 410 30 10654 10544
30 29 410 411 31 10763 10654
31 30 411 412 32 10871 10763
32 31 412 413 33 10978 10871
33 32 413 414 34 11084 10978
34 33 414 415 35 11189 11084
35 34 415 416 36 11293 11189
36 35 416 417 37 11396 11293
37 36 417 418 38 11498 11396
38 37 418 419 39 11599 11498
39 38 419 420 40 11699 11599
40 39 420 421 41 11798 11699
41 40 421 422 42 11896 11798
42 41 422 423 43 11993 11896
43 42 423 424 44 12089 11993
44 43 424 425 45 12184 12089
45 44 425 426 46 12278 12184
46 45 426 427 47 12371 12278
47 46 427 428 48 12463 12371
48 47 428 429 49 12554 12463
49 48 429 430 50 12644 12554
50 49 430 431 51 12733 12644
51 50 431 432 52 12821 12733
52 51 432 433 53 12908 12821
53 52 433 434 54 12994 12908
54 53 434 435 55 13079 12994
55 54 435 436 56 13163 13079
56 55 436 437 57 13246 13163
57 56 437 438 58 13328 13246
58 57 438 439 59 13409 13328
59 58 439 440 60 13489 13409
60 59 440 441 61 13568 13489
61 60 441 442 62 13646 13568
62 61 442 443 63 13723 13646
63 62 443 444 64 13799 13723
64 63 444 445 65 13874 13799
65 64 445 446 66 13948 13874
66 65 446 447 67 14021 13948
67 66 447 448 68 14093 14021
68 67 448 449 69 14164 14093
69 68 449 450 70 14234 14164
70 69 450 451 71 14303 14234
71 70 451 452 72 14371 14303
72 71 452 453 73 14438 14371
73 72 453 454 74 14504 14438
74 73 454 455 75 14569 14504
75 74 455 456 76 14633 14569
76 75 456 457 77 14696 14633
77 76 457 458 78 14758 14696
78 77 458 459 79 14819 14758
79 78 459 460 80 14879 14819
80 79 460 461 81 14938 14879
81 80 461 462 82 14996 14938
82 81 462 463 83 15053 14996
83 82 463 464 84 15109 15053
84 83 464 465 85 15164 15109
85 84 465 466 86 15218 15164
86 85 466 467 87 15271 15218
87 86 467 468 88 15323 15271
88 87 468 469 89 15374 15323
89 88 469 470 90 15424 15374
